ID,school_link,image_url,school_name,cert,location,type,fees,location_link,phone_number,description_head,description_body,details_head,details_body,fees_list,long_location
0,https://egyptschools.info/school/international-public-school-rawdat-elobour/,https://egyptschools.info/wp-content/uploads/2024/01/410176531_122095663142156688_5112817842385158740_n-768x576.jpeg,International Public School Rawdat El obour,IG,Al Obour,Governmental,15460,https://maps.google.com/maps?daddr=30.24019%2C 31.48998,tel:+201141583038,عن المدرسة الرسمية الدولية روضة العبور – International Public School Rawdat El obour – IPS,"المدرسة الرسمية الدولية روضة العبور - International Public School Rawdat El obour - IPS افتتحت في ديسمبر 2023 م
المدارس الرسمية الدولية هي مدارس تطبق المناهج البريطانية و هي مدارس حكومية تخضع لوزارة التربية و التعليم و تحت الإشراف الفني لمؤسسة المدارس الدولية بمصر.",عن المدرسة الرسمية الدولية روضة العبور – International Public School Rawdat El obour – IPS,"المدرسة الرسمية الدولية روضة العبور - International Public School Rawdat El obour - IPS افتتحت في ديسمبر 2023 م
المدارس الرسمية الدولية هي مدارس تطبق المناهج البريطانية و هي مدارس حكومية تخضع لوزارة التربية و التعليم و تحت الإشراف الفني لمؤسسة المدارس الدولية بمصر.","[{'fees_title': 'FS 1 (رياض اطفال)', 'fees_value': '15,460 LE'}, {'fees_title': 'FS 2 (رياض اطفال 2 )', 'fees_value': '17,050 LE'}, {'fees_title': 'Year 1 (الصف الأول الابتدائي) :', 'fees_value': '21,100 LE'}, {'fees_title': 'Year 2 (الصف الثاني الابتدائي) :', 'fees_value': '22,150 LE'}, {'fees_title': 'Year 3 (الصف الثالث الابتدائي)', 'fees_value': '23,200 LE'}, {'fees_title': 'Year 4 (الصف الرابع الابتدائي)', 'fees_value': '25,250 LE'}, {'fees_title': 'Year 5 (الصف الخامس الابتدائي)', 'fees_value': '26,300 LE'}]",
1,https://egyptschools.info/school/westcliff-international-school/,https://egyptschools.info/wp-content/uploads/2023/12/PHOTO-2023-03-12-20-16-51_edited-768x432.png,Westcliff International School,Thanwya,Al Maryoutia,Private,57867,https://maps.google.com/maps?daddr=29.94765%2C31.18456,tel:01271112724,عن مدرسة ويستكليف الدولية – Westcliff International School,مدرسة ويستكليف الدولية - Westcliff International School بمنطقة الهرم,عن مدرسة ويستكليف الدولية – Westcliff International School,مدرسة ويستكليف الدولية - Westcliff International School بمنطقة الهرم,"[{'fees_title': 'KG', 'fees_value': '57,867 LE'}, {'fees_title': 'Grade 1', 'fees_value': '62,734 LE'}]",طريق سقارة - المريوطية - الهرم - الجيزة
2,https://egyptschools.info/school/kings-school-the-crown/,https://egyptschools.info/wp-content/uploads/2023/11/outdoor_kings_egypt.jpg-768x512.jpeg,King's School The Crown,IG,October,Private,253000,https://maps.google.com/maps?daddr=29.98246%2C31.04130,tel:01022777269,عن مدرسه كينجز سكول الدوليه – King’s School The Crown,مدرسه كينجز سكول الدوليه - King's School The Crown بمدينة 6 اكتوبر - الجيزة,عن مدرسه كينجز سكول الدوليه – King’s School The Crown,مدرسه كينجز سكول الدوليه - King's School The Crown بمدينة 6 اكتوبر - الجيزة,"[{'fees_title': 'Pre-KG', 'fees_value': '253,000 LE'}, {'fees_title': 'FS 1 - 2', 'fees_value': '253,000 LE'}, {'fees_title': 'Year 1 - 6', 'fees_value': '297,000 LE'}, {'fees_title': 'Year 7', 'fees_value': '375,000 LE'}]",داخل كومباوند بالم هيلز - مدينة 6 اكتوبر - الجيزة
3,https://egyptschools.info/school/green-hills-college/,https://egyptschools.info/wp-content/uploads/2023/11/2023-03-01-768x576.jpeg,Green Hills College,Thanwya,Mokattam,Private,63000,https://maps.google.com/maps?daddr=30.00422%2C31.29263,tel:01050875380,عن مدرسة جرين هيلز كوليدج – Green Hills College,مدرسة جرين هيلز كوليدج - Green Hills College بالمقطم - القاهرة,عن مدرسة جرين هيلز كوليدج – Green Hills College,مدرسة جرين هيلز كوليدج - Green Hills College بالمقطم - القاهرة,"[{'fees_title': 'Pre-KG', 'fees_value': '63,000 LE'}, {'fees_title': 'KG 1 - 2', 'fees_value': '63,000 LE'}, {'fees_title': 'Grade 1 - 3', 'fees_value': '65,100 LE'}, {'fees_title': 'Grade 4 - 5', 'fees_value': '66,000 LE'}]",رقم (102) بالحي الثاني - محور ياسر رزق الرئيسي - الهضبة الوسطى - المقطم - القاهرة
4,https://egyptschools.info/school/talae-al-amal-language-school/,https://egyptschools.info/wp-content/uploads/2022/05/2021-12-15.jpeg,Talae Al Amal Language School,Thanwya,New Heliopolis,Private,18000,https://maps.google.com/maps?daddr=30.12488%2C31.69519,tel:01288877005,عن مدرسة طلائع الامل الإسلامية للغات – Talae Al Amal Language School,مدرسة طلائع الامل الإسلامية للغات - Talae Al Amal Language School بين مدينة بدر و مدينة الشروق - القاهرة,عن مدرسة طلائع الامل الإسلامية للغات – Talae Al Amal Language School,مدرسة طلائع الامل الإسلامية للغات - Talae Al Amal Language School بين مدينة بدر و مدينة الشروق - القاهرة,"[{'fees_title': 'Pre-KG', 'fees_value': '17,000 LE'}, {'fees_title': 'KG 1 - 2', 'fees_value': '18,000 LE'}, {'fees_title': 'Grade 1 - 6', 'fees_value': '19,700 LE'}]",هليوبوليس الجديدة - مدينة الشروق - القاهرة
5,https://egyptschools.info/school/belvedere-school-cairo/,https://egyptschools.info/wp-content/uploads/2023/11/Screen-Shot-2023-11-20-at-1.49.24-PM-768x317.png,Belvedere School Cairo,Thanwya,Badr City,Private,143333,https://maps.google.com/maps?daddr=30.11884%2C31.69598,tel:01070000353,عن مدرسة البلفدير بالقاهرة – Belvedere School Cairo,مدرسة البلفدير بالقاهرة - Belvedere School Cairo موجودة بطريق القاهرة السويس - القاهرة,عن مدرسة البلفدير بالقاهرة – Belvedere School Cairo,مدرسة البلفدير بالقاهرة - Belvedere School Cairo موجودة بطريق القاهرة السويس - القاهرة,"[{'fees_title': 'FS 1 - 2', 'fees_value': '143,333 LE'}, {'fees_title': 'Year 1 - 2', 'fees_value': '177,710 LE'}, {'fees_title': 'Year 3 - 6', 'fees_value': '193,500 LE'}]",طريق القاهرة السويس - مقابل مدينتي وسراي - القاهرة الجديدة - القاهرة
6,https://egyptschools.info/school/seeds-british-school/,https://egyptschools.info/wp-content/uploads/2023/11/380422262_1796411520809324_5386613211562886342_n-768x306.jpeg,Seeds British School,IG,New Capital,Private,87285,https://maps.google.com/maps?daddr=30.03261%2C31.66864,tel:01009997485,عن مدرسة سيدز البريطانية – Seeds British School – SBS,مدرسة سيدز البريطانية - Seeds British School - SBS موجودة بالعاصمة الادارية الجديدة - القاهرة,عن مدرسة سيدز البريطانية – Seeds British School – SBS,مدرسة سيدز البريطانية - Seeds British School - SBS موجودة بالعاصمة الادارية الجديدة - القاهرة,"[{'fees_title': 'FS 1 - 2', 'fees_value': '87,285 LE'}, {'fees_title': 'year 1 - 5', 'fees_value': '96,140 LE'}]",R2 الحي الثاني - العاصمة الادارية الجديدة - القاهرة
7,https://egyptschools.info/school/golden-modern-school/,https://egyptschools.info/wp-content/uploads/2023/11/366283770_249291844703520_8038420257859786708_n-768x512.jpeg,Golden Modern School,Thanwya,New Heliopolis,Private,36600,https://maps.google.com/maps?daddr=51.51478%2C-0.14456,tel:01222202534,عن مدرسة جولدن مودرن للغات – Golden Modern School – GMS,مدرسة جولدن مودرن للغات - Golden Modern School - GMS بمدينة هليوبوليس الجديدة - القاهرة,عن مدرسة جولدن مودرن للغات – Golden Modern School – GMS,مدرسة جولدن مودرن للغات - Golden Modern School - GMS بمدينة هليوبوليس الجديدة - القاهرة,"[{'fees_title': 'Pre-KG', 'fees_value': '28,500 LE'}, {'fees_title': 'KG 1 - 2', 'fees_value': '36,600 LE'}, {'fees_title': 'Grade 1 - 7', 'fees_value': '36,600 LE'}]",بوابة 3 مدينة الشروق - بجانب بوابة هليوبوليس الجديدة - القاهرة
8,https://egyptschools.info/school/egypt-integrated-language-school-zahraa-nasr-city/,https://egyptschools.info/wp-content/uploads/2023/11/394496467_708874504630458_2321605446027113904_n-768x406.jpeg,Egypt Integrated Language School,Thanwya,Nasr City,Governmental,11000,https://maps.google.com/maps?daddr=30.04382%2C31.39717,#,عن مدارس مصر المتكاملة للغات زهراء مدينة نصر – Egypt Integrated Language School – EILS Zahraa Nasr City,مدارس مصر المتكاملة للغات - Egypt Integrated Language School موجودة في زهراء مدينة نصر - القاهرة,عن مدارس مصر المتكاملة للغات زهراء مدينة نصر – Egypt Integrated Language School – EILS Zahraa Nasr City,مدارس مصر المتكاملة للغات - Egypt Integrated Language School موجودة في زهراء مدينة نصر - القاهرة,[],مدينة مساكن الظباط - زهراء مدينة نصر - مدينة نصر - القاهرة
9,https://egyptschools.info/school/egypt-integrated-language-school-elzaitoun/,https://egyptschools.info/wp-content/uploads/2023/11/398696463_122117867078056842_6721324169000639235_n-768x576.jpeg,Egypt Integrated Language School- Eils El Zaitoun,Thanwya,Hada'iq al-Zaytun,Governmental,11000,https://maps.google.com/maps?daddr=30.10239%2C31.30566,tel:01024908622,عن مدارس مصر المتكاملة للغات – Egypt Integrated Language School- Eils El Zaitoun,مدارس مصر المتكاملة للغات - Egypt Integrated Language School موجودة في حدائق الزيتون - القاهرة,عن مدارس مصر المتكاملة للغات – Egypt Integrated Language School- Eils El Zaitoun,مدارس مصر المتكاملة للغات - Egypt Integrated Language School موجودة في حدائق الزيتون - القاهرة,[],230 شارع ترعة الجبل - حدائق الزيتون - القاهرة
10,https://egyptschools.info/school/citadel-international-school-2/,https://egyptschools.info/wp-content/uploads/2023/11/260725907_106383995213663_8847330804736039020_n-2-768x768.png,Citadel International School,IG,Zahraa al Maadi,Private,42000,https://maps.google.com/maps?daddr=29.97467%2C31.35874,tel:01119167774,عن مدرسة القلعة الدولية – Citadel International School,مدرسة القلعة الدولية - Citadel International School موجود في زهراء المعادي - القاهرة,عن مدرسة القلعة الدولية – Citadel International School,مدرسة القلعة الدولية - Citadel International School موجود في زهراء المعادي - القاهرة,"[{'fees_title': 'FS 1 - 2', 'fees_value': '42,000 LE'}]",زهراء المعادي - المنطقة A1 - التقسيم الاستثماري - خلف بنزينة الوطنية - القاهرة.
11,https://egyptschools.info/school/futures-tech-october/,https://egyptschools.info/wp-content/uploads/2023/10/354065544_185056851195688_59557228637379836_n-768x288.jpg,Futures Tech October,Thanwya,October,Private,31000,https://maps.google.com/maps?daddr=29.92675%2C31.07177,tel:01201778818,عن مدرسة فيوتشرز تك اكتوبر – Futures Tech October,مدرسة فيوتشرز تك اكتوبر - Futures Tech October بداخل القرية الكونية - بمدينة 6 اكتوبر,عن مدرسة فيوتشرز تك اكتوبر – Futures Tech October,مدرسة فيوتشرز تك اكتوبر - Futures Tech October بداخل القرية الكونية - بمدينة 6 اكتوبر,"[{'fees_title': 'KG 1 - 2', 'fees_value': '31,000 LE'}]",داخل القرية الكونية - مدينة 6 اكتوبر - الجيزة
12,https://egyptschools.info/school/baron-language-school/,https://egyptschools.info/wp-content/uploads/2023/10/DSC_0151-Copy-1.jpg,Baron Language School,Thanwya,Mokattam,Private,26750,https://maps.google.com/maps?daddr=30.00649%2C31.28558,tel:01554223598,عن مدرسه البارون للغات – Baron Language School,مدرسه البارون للغات - Baron Language School بالهضبة الوسطي - المقطم - القاهرة,عن مدرسه البارون للغات – Baron Language School,مدرسه البارون للغات - Baron Language School بالهضبة الوسطي - المقطم - القاهرة,"[{'fees_title': 'KG 1 - 2', 'fees_value': '26,750 LE'}, {'fees_title': 'Grade 1 - 6', 'fees_value': '26,750 LE'}, {'fees_title': 'Grade 7 - 11', 'fees_value': '26,750 LE'}]",الهضبه الوسطي - الحي الاول - شارع مدرسة البارون - المقطم - القاهرة
13,https://egyptschools.info/school/manhattan-elite-international-school/,https://egyptschools.info/wp-content/uploads/2023/10/332104689_567216822003569_849733596616474200_n-768x512.jpeg,Manhattan Elite International School,American,Zahraa al Maadi,Private,60000,https://maps.google.com/maps?daddr=29.97602%2C31.33011,tel:01020966624,عن مدرسة مانهاتن ايليت الدولية – Manhattan Elite International School,مدرسة مانهاتن ايليت الدولية - Manhattan Elite International School بزهراء المعادي - المعادي - القاهرة,عن مدرسة مانهاتن ايليت الدولية – Manhattan Elite International School,مدرسة مانهاتن ايليت الدولية - Manhattan Elite International School بزهراء المعادي - المعادي - القاهرة,"[{'fees_title': 'Pre-KG', 'fees_value': '40,000 LE'}, {'fees_title': 'KG 1 - 2', 'fees_value': '60,000'}, {'fees_title': 'Grade 1 - 3', 'fees_value': '63,000 LE'}]",خلف الطريق الدائري كارفور - زهراء المعادي - المعادي - القاهرة
14,https://egyptschools.info/school/moon-gardens-international-school/,https://egyptschools.info/wp-content/uploads/2023/10/363762441_627437156146681_1762225105345827119_n-768x548.jpeg,Moon Gardens International School,Thanwya,Cairo-Ismailia Desert Road,Private,36000,https://maps.google.com/maps?daddr=30.16406%2C31.44556,tel:01028288811,عن مدرسة مون جاردنز الدولية – Moon Gardens International School,مدرسة مون جاردنز الدولية - Moon Gardens International School موجودة علي طريق القاهرة الاسماعيلية الصحرواي - القاهرة,عن مدرسة مون جاردنز الدولية – Moon Gardens International School,مدرسة مون جاردنز الدولية - Moon Gardens International School موجودة علي طريق القاهرة الاسماعيلية الصحرواي - القاهرة,"[{'fees_title': 'Pre-KG', 'fees_value': '36,000 LE'}, {'fees_title': 'KG 1 - 2', 'fees_value': '54,000 LE'}, {'fees_title': 'Grade 1 - 3', 'fees_value': '57,000 LE'}, {'fees_title': 'FS 1-2', 'fees_value': '54,000 LE'}, {'fees_title': 'Year 1-3', 'fees_value': '59,000 LE'}]",كمبوند مون جاردنز - مدخل 2 النخيل - طريق القاهرة الاسماعيلية - القاهرة
15,https://egyptschools.info/school/cadmus-international-school-alburouj/,https://egyptschools.info/wp-content/uploads/2023/10/BRJ-2-768x424.jpeg,Cadmus International School,IG,El Shorouk,Private,99520,https://maps.google.com/maps?daddr=30.21382%2C31.73782,tel:01280355000,عن مدرسة قدموس الدولية البروج – Cadmus International School – Alburouj,مدرسة قدموس الدولية البروج - Cadmus International School - Alburouj بمدينة الشروق - القاهرة,عن مدرسة قدموس الدولية البروج – Cadmus International School – Alburouj,مدرسة قدموس الدولية البروج - Cadmus International School - Alburouj بمدينة الشروق - القاهرة,"[{'fees_title': 'KG 1', 'fees_value': '99,520 LE'}, {'fees_title': 'KG 2', 'fees_value': '105,250 LE'}, {'fees_title': 'Grade 1', 'fees_value': '125,770 LE'}, {'fees_title': 'Grade 2', 'fees_value': '128,370 LE'}, {'fees_title': 'Grade 3', 'fees_value': '130,300LE'}, {'fees_title': 'Grade 4', 'fees_value': '131,460 LE'}, {'fees_title': 'Grade 5', 'fees_value': '132,740 LE'}, {'fees_title': 'Grade 6', 'fees_value': '145,270 LE'}, {'fees_title': 'Grade 7', 'fees_value': '147,200 LE'}, {'fees_title': 'Grade 8', 'fees_value': '149,200 LE'}]","البروج، قطعة رقم 106، كومباوند البروج, 43 طريق الاسماعيلية الصحراوي، مدينة الشروق، القاهرة"
16,https://egyptschools.info/school/the-american-school-of-egypt/,https://egyptschools.info/wp-content/uploads/2023/09/332085459_1009326410472970_2755593998335100882_n-768x464.jpeg,The American School of Egypt,American,Sheikh Zayed,Private,120000,https://maps.google.com/maps?daddr=30.03982%2C30.95884,tel:01099513550,عن المدرسة الامريكية في مصر – The American School of Egypt – ASE,المدرسة الامريكية في مصر - The American School of Egypt - ASE بمدينة الشيخ - الجيزة,عن المدرسة الامريكية في مصر – The American School of Egypt – ASE,المدرسة الامريكية في مصر - The American School of Egypt - ASE بمدينة الشيخ - الجيزة,"[{'fees_title': 'KG 1 - 2', 'fees_value': '120,000 LE'}, {'fees_title': 'Grade 1', 'fees_value': '125,000 LE'}, {'fees_title': 'Grade 2', 'fees_value': '130,000 LE'}, {'fees_title': 'Grade 3', 'fees_value': '130,000'}, {'fees_title': 'Grade 4', 'fees_value': '140,000 LE'}, {'fees_title': 'Grade 5', 'fees_value': '145,000 LE'}, {'fees_title': 'Grade 6', 'fees_value': '150,000 LE'}, {'fees_title': 'Grade 7', 'fees_value': '155,000 LE'}, {'fees_title': 'Grade 8', 'fees_value': '160,000 LE'}, {'fees_title': 'Grade 9', 'fees_value': '165,000 LE'}, {'fees_title': 'Grade 10', 'fees_value': '17,000 LE'}, {'fees_title': 'Grade 11', 'fees_value': '175,000 LE'}, {'fees_title': 'Grade 12', 'fees_value': '180,000 LE'}]",مركز خدمة المنطقة التاسعة - طريق دهشور - مدينة الشيخ زايد - الجيزة
