ID,school_name,cert,location,type,fees,Latitude,Longitude,fees_normalized,Latitude_normalized,Longitude_normalized
1,International Public School Rawdat El obour,2,Al Obour,0,15460,30.2288224,31.465685617766244,-0.5891522121113861,0.0902777956744871,0.6373931242197846
2,Westcliff International School,0,Al Maryoutia,1,57867,30.0426329,31.124639,0.3327110444852291,-0.2993101971609496,0.0600495243436193
3,King's School The Crown,2,October,1,253000,31.08086685,29.724904831435097,4.574603723747317,1.8731188639521203,-2.3095020901597803
4,Green Hills College,0,Mokattam,1,63000,30.0163466,31.2804433,0.4442946060696474,-0.3543123689057108,0.3238041278267177
5,Talae Al Amal Language School,0,New Heliopolis,1,18000,31.124639,31.6925603,-0.5339365007487479,1.9647089056064104,1.0214598146315192
6,Belvedere School Cairo,0,Badr City,1,143333,30.5726337,30.70326411716084,2.190611039492806,0.8096779459576311,-0.6532784463284121
7,Seeds British School,2,New Capital,1,87285,29.95213615,31.71293543787288,0.9722133267159748,-0.4886680674524036,1.0559520360308874
8,Golden Modern School,0,New Heliopolis,1,36600,31.124639,31.6925603,-0.1296009765971444,1.9647089056064104,1.0214598146315192
9,Egypt Integrated Language School,0,Nasr City,0,11000,30.0521177,31.3422045,-0.6861057840316094,-0.2794639427027482,0.4283570882818516
10,Egypt Integrated Language School- Eils El Zaitoun,0,Hada'iq al-Zaytun,0,11000,30.107946432630147,31.311177992306487,-0.6861057840316094,-0.1626463784044102,0.3758336070032986
11,Citadel International School,2,Zahraa al Maadi,1,42000,29.96051175,31.32331893333732,-0.012213243778937,-0.4711427333557288,0.3963864998791616
12,Futures Tech October,0,October,1,31000,31.08086685,29.724904831435097,-0.2513364032234337,1.8731188639521203,-2.3095020901597803
13,Baron Language School,0,Mokattam,1,26750,30.0163466,31.2804433,-0.343724896645171,-0.3543123689057108,0.3238041278267177
14,Manhattan Elite International School,1,Zahraa al Maadi,1,60000,29.96051175,31.32331893333732,0.379079198948421,-0.4711427333557288,0.3963864998791616
15,Moon Gardens International School,0,Cairo-Ismailia Desert Road,1,36000,30.1490863,31.4249067,-0.1426440580213897,-0.0765641967876298,0.5683601945387355
16,Cadmus International School,2,El Shorouk,1,99520,30.11952805,31.60687795516707,1.238183495425376,-0.138412686037714,0.8764117454388799
17,The American School of Egypt,1,Sheikh Zayed,1,120000,30.056131850653067,30.972691160621636,1.683387341372948,-0.2710646242886201,-0.1971766377414677
18,Palm International School,1,Nasr City,1,67000,30.0521177,31.3422045,0.5312484822312825,-0.2794639427027482,0.4283570882818516
19,Nordic School In Cairo,2,Sheikh Zayed,1,84000,30.056131850653067,30.972691160621636,0.9008024559182318,-0.2710646242886201,-0.1971766377414677
20,Nasr Language Schools,0,Faisal,1,18000,30.018819286056782,31.32421818804972,-0.5339365007487479,-0.3491384530953423,0.3979088106889377
21,Rawdat Misr School,0,Shubra Masr,1,7000,30.2005981,31.3290642,-0.7730596601932445,0.0312204998216889,0.4061124222736038
